id;descripcion;created_by;created_date;last_modified_by;last_modified_date
1;Guapa Money;revolutionize Algodón;2023-03-01T09:15:17;Seguro Vasco implement;2023-03-01T03:36:54
2;Yen Marroquinería;Metal Usabilidad;2023-03-01T10:15:53;Cambridgeshire Violeta parsing;2023-03-01T07:41:01
3;synthesize monitorizar calculate;Macedonia payment Bacon;2023-03-01T10:17:42;deposit CSS;2023-03-01T21:52:29
4;Baleares iniciativa hacking;programming input;2023-03-01T09:53:37;enterprise Rústico collaborative;2023-03-01T13:10:11
5;Apartamento cross-platform;Refinado;2023-03-01T20:29:00;Queso SAS;2023-03-01T04:31:58
6;viral synthesize Avon;Algodón Investigación AGP;2023-03-01T19:32:21;sticky usuario;2023-03-01T22:30:23
7;Comunidad Peso Avon;transform;2023-03-01T22:26:15;Caserio Extremadura;2023-03-01T10:11:10
8;Dinar Madera;wireless;2023-03-01T18:24:09;Jefe Bacon Rústico;2023-03-01T03:23:12
9;programming;Moda;2023-03-01T07:55:59;Intuitivo radical;2023-03-01T23:30:28
10;Investment facilitate;compuesto architectures;2023-03-01T05:08:29;Lebanese;2023-03-01T02:23:27
